Team,Name
Australia, ARNOLD Mackenzie
Australia, HEYMAN Michelle
Australia, TORPEY Kaitlyn
Australia, POLKINGHORNE Clare
Australia, VINE Cortnee
Australia, GORRY Katrina
Australia, CATLEY Steph
Australia, COONEY-CROSS Kyra
Australia, FOORD Caitlin
Australia, VAN EGMOND Emily
Australia, FOWLER Mary
Australia, CARPENTER Ellie
Australia, YALLOP Tameka
Australia, KENNEDY Alanna
Australia, HUNT Clare
Australia, RASO Hayley
Australia, WHEELER Clare
Australia, MICAH Teagan
Australia, FREIER Sharn
Australia, GRANT Charlotte
Australia, NEVIN Courtney
Australia, WILLIAMS Lydia
,
Brazil, LORENA
Brazil, ANTONIA
Brazil, TARCIANE
Brazil, RAFAELLE
Brazil, DUDA SAMPAIO
Brazil, TAMIRES
Brazil, KEROLIN
Brazil, VITORIA YAYA
Brazil, ADRIANA
Brazil, MARTA
Brazil, JHENIFFER
Brazil, TAINA
Brazil, YASMIM
Brazil, LUDMILA
Brazil, THAIS
Brazil, GABI NUNES
Brazil, ANA VITORIA
Brazil, GABI PORTILHO
Brazil, PRISCILA
Brazil, ANGELINA
Brazil, LAUREN
Brazil, LUCIANA
,
Canada, SHERIDAN Kailen
Canada, CARLE Gabrielle
Canada, BUCHANAN Kadeisha
Canada, VIENS Evelyne
Canada, QUINN
Canada, LACASSE Cloe
Canada, GROSSO Julia
Canada, RIVIERE Jayde
Canada, HUITEMA Jordyn
Canada, LAWRENCE Ashley
Canada, LEON Adriana
Canada, ROSE Jade
Canada, AWUJO Simi
Canada, GILLES Vanessa
Canada, PRINCE Nichelle
Canada, BECKIE Janine
Canada, FLEMING Jessie
Canada, DANGELO Sabrina
Canada, ROSE Deanne
Canada, ZADORSKY Shelina
Canada, SCOTT Desiree
Canada, PROULX Lysianne
,
Colombia, PEREZ Catalina
Colombia, VANEGAS Manuela
Colombia, ARIAS Daniela
Colombia, CARACAS Daniela
Colombia, QUEJADA MINOTA Yirleidis
Colombia, MONTOYA Daniela
Colombia, PAVI Manuela
Colombia, RESTREPO Marcela
Colombia, RAMIREZ Mayra
Colombia, SANTOS Leicy
Colombia, USME Catalina
Colombia, TAPIA Katherine
Colombia, IZQUIERDO Ilana
Colombia, BARON Angela
Colombia, SALAZAR Liana
Colombia, CARABALI Jorelyn
Colombia, ARIAS Carolina
Colombia, CAICEDO Linda
Colombia, BONILLA CANDELO Wendy
Colombia, ANDRADE Lady
Colombia, REYES Maria Camila
Colombia, SEPULVEDA Sandra
,
France, PICAUD Constance
France, LAKRAR Maelle
France, RENARD Wendie
France, CASCARINO Estelle
France, DE ALMEIDA Elisa
France, HENRY Amandine
France, KARCHAOUI Sakina
France, GEYORO Grace
France, LE SOMMER Eugenie
France, CASCARINO Delphine
France, DIANI Kadidiatou
France, KATOTO Marie-Antoinette
France, BACHA Selma
France, TOLETTI Sandie
France, DALI Kenza
France, PEYRAUD-MAGNIN Pauline
France, BALTIMORE Sandy
France, MBOCK BATHY Griedge
France, LE GARREC Lea
France, BECHO Vicki
France, PERISSET Eve
France, DURAND Solene
,
Germany, FROHMS Merle
Germany, LINDER Sarai
Germany, HENDRICH Kathrin
Germany, SCHULZE SOLANO Bibiane
Germany, HEGERING Marina
Germany, MINGE Janina
Germany, SCHUELLER Lea
Germany, LOHMANN Sydney
Germany, NUESKEN Sjoeke
Germany, FREIGANG Laura
Germany, POPP Alexandra
Germany, BERGER Ann-Katrin
Germany, DOORSOUN Sara
Germany, SENSS Elisa
Germany, GWINN Giulia
Germany, BRAND Jule
Germany, BUEHL Klara
Germany, ENDEMANN Vivien
Germany, RAUCH Felicitas
Germany, WOLTER Pia-Sophie
Germany, ANYOMI Nicole
Germany, JOHANNES Stina
,
Japan, YAMASHITA Ayaka
Japan, SHIMIZU Risa
Japan, MINAMI Moeka
Japan, KUMAGAI Saki
Japan, TAKAHASHI Hana
Japan, KOGA Toko
Japan, MIYAZAWA Hinata
Japan, SEIKE Kiko
Japan, UEKI Riko
Japan, NAGANO Fuka
Japan, TANAKA Mina
Japan, TANIKAWA Momoko
Japan, KITAGAWA Hikaru
Japan, HASEGAWA Yui
Japan, FUJINO Aoba
Japan, HAYASHI Honoka
Japan, HAMANO Maika
Japan, HIRAO Chika
Japan, CHIBA Remina
Japan, MORIYA Miyabi
Japan, ISHIKAWA Rion
Japan, OHBA Shu
,
New Zealand, LEAT Anna
New Zealand, TAYLOR Kate
New Zealand, BARRY Mackenzie
New Zealand, BOTT C.J.
New Zealand, MOORE Meikayla
New Zealand, STEINMETZ Malia
New Zealand, FOSTER Michaela
New Zealand, FRASER Macey
New Zealand, RENNIE Gabi
New Zealand, RILEY Indiah-Paige
New Zealand, KITCHING Katie
New Zealand, ESSON Victoria
New Zealand, STOTT Rebekah
New Zealand, BOWEN Katie
New Zealand, GREEN Ally
New Zealand, HAND Jacqui
New Zealand, CLEGG Milly
New Zealand, JALE Grace
New Zealand, BUNGE Claudia
New Zealand, LONGO Annalie
New Zealand, NEVILLE Grace
New Zealand, SHEAFF Murphy
,
Nigeria, OLUEHI Tochukwu
Nigeria, ALOZIE Michelle
Nigeria, OHALE Osinachi
Nigeria, PAYNE Nicole
Nigeria, OKEKE Chidinma
Nigeria, OKORONKWO Esther
Nigeria, PAYNE Toni
Nigeria, OSHOALA Asisat
Nigeria, MACLEANS Chinonyerem
Nigeria, UCHEIBE Christy
Nigeria, ECHEGINI Jennifer
Nigeria, KANU Uchenna
Nigeria, ABIODUN Deborah
Nigeria, DEMEHIN Blessing
Nigeria, AJIBADE Rasheedat
Nigeria, NNADOZIE Chiamaka
Nigeria, IHEZUO Chinwendu
Nigeria, ONUMONU Ifeoma
Nigeria, MONDAY Gift
Nigeria, ALANI Jumoke
Nigeria, OTU Regina
Nigeria, ADEMOLA Morufa
,
Spain, RODRIGUEZ Misa
Spain, BATLLE Ona
Spain, ABELLEIRA Teresa
Spain, PAREDES Irene
Spain, HERNANDEZ Oihane
Spain, BONMATI Aitana
Spain, DEL CASTILLO Athenea
Spain, CALDENTEY Mariona
Spain, PARALLUELO Salma
Spain, HERMOSO Jennifer
Spain, PUTELLAS Alexia
Spain, GUIJARRO Patri
Spain, COLL Cata
Spain, ALEIXANDRI Laia
Spain, NAVARRO Eva
Spain, CODINA Laia
Spain, GARCIA Lucia
Spain, CARMONA Olga
Spain, LOPEZ Vicky
Spain, MENDEZ Maria
Spain, REDONDO Alba
Spain, LETE Elene
,
USA, NAEHER Alyssa
